feature,importance_mean,importance_std
hold_1129_start,0.0,0.0
hold_1534_foot,0.0,0.0
hold_1470_foot,0.0,0.0
hold_1459_foot,0.0,0.0
hold_1391_finish,0.0,0.0
hold_1357_hand,0.0,0.0
hold_1216_hand,0.0,0.0
hold_1185_start,0.0,0.0
hold_1181_start,0.0,0.0
hold_1451_foot,0.0,0.0
hold_1505_foot,0.0,0.0
hold_1458_foot,0.0,0.0
hold_1356_hand,0.0,0.0
hold_1382_finish,0.0,0.0
hold_1322_hand,0.0,0.0
hold_1288_hand,0.0,0.0
hold_1253_hand,0.0,0.0
hold_1113_foot,0.0,0.0
hold_1509_foot,0.0,0.0
hold_1506_foot,0.0,0.0
hold_1497_foot,0.0,0.0
hold_1353_finish,0.0,0.0
hold_1256_start,0.0,0.0
hold_1559_foot,0.0,0.0
hold_1457_foot,0.0,0.0
hold_1393_finish,0.0,0.0
hold_1549_hand,0.0,0.0
